账单行号,单号,快递公司,目的地省,账单重量,账单快递费,账单操作费,账单金额,商家ID,在订单中,订单快递,订单省份,订单重量,理论重量,理论快递费,理论总费用,费用差异,重量匹配,状态
140,435171401575655,韵达快递,新疆维吾尔自治区,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
141,321129782167271,韵达快递,湖北省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
142,428187190609203,韵达快递,湖北省,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
143,428187171690357,韵达快递,北京市,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
144,435173517490403,韵达快递,河南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
145,435173103969947,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
146,321131679772354,韵达快递,江西省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
147,435173367349026,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
148,321133889986631,韵达快递,山西省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,山西省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
149,435175326425073,韵达快递,江西省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江西省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
150,435175271187711,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.5,0.5,2.8,3.7,0,差异(1 vs 0.5),金额一致
151,435174905808755,韵达快递,江西省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
152,435174904261065,韵达快递,河北省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
153,435174384789996,韵达快递,辽宁省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
154,321133797659058,韵达快递,湖南省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),是,韵达快递,湖南省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
155,435174898906505,韵达快递,山西省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
156,428187446224408,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,江苏省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
157,435178417288312,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
158,428187512424474,韵达快递,江苏省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,江苏省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
159,435176528567314,韵达快递,天津市,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
160,435176900148755,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖南省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
161,435183508998516,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
162,435179321040949,韵达快递,山东省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,山东省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
163,435179320238089,韵达快递,江西省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江西省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
164,428187564546010,韵达快递,山东省,1,2.8,0.9,3.7,70迈官旗(253810120),否,,,,,,,,,未在发货订单中
165,435179305519129,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
